,toughness,power,cmc,cardType,cardText,manaCost,colorlessMana,colorless,Variable Colorless,mana_Blue,mana_Black,mana_Red,mana_Green,mana_White,Primary Type,Activated ability
Illusionary Mask,,,2,[u'Artifact'],"[u'Variable Colorless', ': You may choose a creature card in your hand whose mana cost could be paid by some amount of, or all of, the mana you spent on ', u'Variable Colorless', "". If you do, you may cast that card face down as a 2/2 creature spell without paying its mana cost. If the creature that spell becomes as it resolves has not been turned face up and would assign or deal damage, be dealt damage, or become tapped, instead it's turned face up and assigns or deals damage, is dealt damage, or becomes tapped. Activate this ability only any time you could cast a sorcery.""]",[u'2'],2,1,0,0,0,0,0,0,Artifact,0
Iron Star,,,1,[u'Artifact'],"['Whenever a player casts a red spell, you may pay ', u'1', '. If you do, you gain 1 life.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Ivory Cup,,,1,[u'Artifact'],"['Whenever a player casts a white spell, you may pay ', u'1', '. If you do, you gain 1 life.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Jade Monolith,,,4,[u'Artifact'],"[u'1', ': The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,0
Jade Statue,6,3,4,[u'Artifact'],"[u'2', ': Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate this ability only during combat.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,0
Jayemdae Tome,,,4,[u'Artifact'],"[u'4', ', ', u'Tap', ': Draw a card.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,1
Juggernaut,3,5,4,"[u'Artifact Creature', u'Juggernaut']","['Juggernaut attacks each turn if able.', ""Juggernaut can't be blocked by Walls.""]",[u'4'],4,1,0,0,0,0,0,0,Artifact Creature,0
Kormus Bell,,,4,[u'Artifact'],['All Swamps are 1/1 black creatures that are still lands.'],[u'4'],4,1,0,0,0,0,0,0,Artifact,0
Library of Leng,,,1,[u'Artifact'],"['You have no maximum hand size.', 'If an effect causes you to discard a card, discard it, but you may put it on top of your library instead of into your graveyard.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Lich,,,4,[u'Enchantment'],"['As Lich enters the battlefield, you lose life equal to your life total.', ""You don't lose the game for having 0 or less life."", 'If you would gain life, draw that many cards instead.', ""Whenever you're dealt damage, sacrifice that many nontoken permanents. If you can't, you lose the game."", 'When Lich is put into a graveyard from the battlefield, you lose the game.']","[u'Black', u'Black', u'Black', u'Black']",0,0,0,0,4,0,0,0,Enchantment,0
Living Wall,6,0,4,"[u'Artifact Creature', u'Wall']","['Defender ', ""<i>(This creature can't attack.)</i>"", u'1', ': Regenerate Living Wall.']",[u'4'],4,1,0,0,0,0,0,0,Artifact Creature,0
Lord of the Pit,7,7,7,"[u'Creature', u'Demon']","['Flying, trample', ""At the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you.""]","[u'4', u'Black', u'Black', u'Black']",4,1,0,0,3,0,0,0,Creature,0
Mana Vault,,,1,[u'Artifact'],"[""Mana Vault doesn't untap during your untap step."", 'At the beginning of your upkeep, you may pay ', u'4', '. If you do, untap Mana Vault.', 'At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.', u'Tap', ': Add ', u'3', ' to your mana pool.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,1
Meekstone,,,1,[u'Artifact'],"[""Creatures with power 3 or greater don't untap during their controllers' untap steps.""]",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Mind Twist,,,1,[u'Sorcery'],['Target player discards X cards at random.'],"[u'Variable Colorless', u'Black']",0,0,1,0,1,0,0,0,Sorcery,0
Mox Emerald,,,0,[u'Artifact'],"[u'Tap', ': Add ', u'Green', ' to your mana pool.']",[u'0'],0,1,0,0,0,0,0,0,Artifact,1
Mox Jet,,,0,[u'Artifact'],"[u'Tap', ': Add ', u'Black', ' to your mana pool.']",[u'0'],0,1,0,0,0,0,0,0,Artifact,1
Mox Pearl,,,0,[u'Artifact'],"[u'Tap', ': Add ', u'White', ' to your mana pool.']",[u'0'],0,1,0,0,0,0,0,0,Artifact,1
Mox Ruby,,,0,[u'Artifact'],"[u'Tap', ': Add ', u'Red', ' to your mana pool.']",[u'0'],0,1,0,0,0,0,0,0,Artifact,1
Mox Sapphire,,,0,[u'Artifact'],"[u'Tap', ': Add ', u'Blue', ' to your mana pool.']",[u'0'],0,1,0,0,0,0,0,0,Artifact,1
Nether Shadow,1,1,2,"[u'Creature', u'Spirit']","['Haste', 'At the beginning of your upkeep, if Nether Shadow is in your graveyard with three or more creature cards above it, you may put Nether Shadow onto the battlefield.']","[u'Black', u'Black']",0,0,0,0,2,0,0,0,Creature,0
Nettling Imp,1,1,3,"[u'Creature', u'Imp']","[u'Tap', "": Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. If it doesn't, destroy it at the beginning of the next end step. Activate this ability only during an opponent's turn, before attackers are declared.""]","[u'2', u'Black']",2,1,0,0,1,0,0,0,Creature,1
Nevinyrral's Disk,,,4,[u'Artifact'],"[""Nevinyrral's Disk enters the battlefield tapped."", u'1', ', ', u'Tap', ': Destroy all artifacts, creatures, and enchantments.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,1
Nightmare,,,6,"[u'Creature', u'Nightmare Horse']","['Flying ', ""<i>(This creature can't be blocked except by creatures with flying or reach.)</i>"", ""Nightmare's power and toughness are each equal to the number of Swamps you control.""]","[u'5', u'Black']",5,1,0,0,1,0,0,0,Creature,0
Obsianus Golem,6,4,6,"[u'Artifact Creature', u'Golem']",[],[u'6'],6,1,0,0,0,0,0,0,Artifact Creature,0
Paralyze,,,1,"[u'Enchantment', u'Aura']","['Enchant creature', 'When Paralyze enters the battlefield, tap enchanted creature.', ""Enchanted creature doesn't untap during its controller's untap step."", ""At the beginning of the upkeep of enchanted creature's controller, that player may pay "", u'4', '. If he or she does, untap the creature.']",[u'Black'],0,0,0,0,1,0,0,0,Enchantment,0
Pestilence,,,4,[u'Enchantment'],"['At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.', u'Black', ': Pestilence deals 1 damage to each creature and each player.']","[u'2', u'Black', u'Black']",2,1,0,0,2,0,0,0,Enchantment,0
Plague Rats,,,3,"[u'Creature', u'Rat']","[""Plague Rats's power and toughness are each equal to the number of creatures named Plague Rats on the battlefield.""]","[u'2', u'Black']",2,1,0,0,1,0,0,0,Creature,0
Raise Dead,,,1,[u'Sorcery'],['Return target creature card from your graveyard to your hand.'],[u'Black'],0,0,0,0,1,0,0,0,Sorcery,0
Rod of Ruin,,,4,[u'Artifact'],"[u'3', ', ', u'Tap', ': Rod of Ruin deals 1 damage to target creature or player.']",[u'4'],4,1,0,0,0,0,0,0,Artifact,1
Royal Assassin,1,1,3,"[u'Creature', u'Human Assassin']","[u'Tap', ': Destroy target tapped creature.']","[u'1', u'Black', u'Black']",1,1,0,0,2,0,0,0,Creature,1
Sacrifice,,,1,[u'Instant'],"['As an additional cost to cast Sacrifice, sacrifice a creature.', 'Add to your mana pool an amount of ', u'Black', "" equal to the sacrificed creature's converted mana cost.""]",[u'Black'],0,0,0,0,1,0,0,0,Instant,0
Scathe Zombies,2,2,3,"[u'Creature', u'Zombie']",[],"[u'2', u'Black']",2,1,0,0,1,0,0,0,Creature,0
Scavenging Ghoul,2,2,4,"[u'Creature', u'Zombie']","['At the beginning of each end step, put a corpse counter on Scavenging Ghoul for each creature that died this turn.', 'Remove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul.']","[u'3', u'Black']",3,1,0,0,1,0,0,0,Creature,0
Sengir Vampire,4,4,5,"[u'Creature', u'Vampire']","['Flying ', ""<i>(This creature can't be blocked except by creatures with flying or reach.)</i>"", 'Whenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.']","[u'3', u'Black', u'Black']",3,1,0,0,2,0,0,0,Creature,0
Simulacrum,,,2,[u'Instant'],['You gain life equal to the damage dealt to you this turn. Simulacrum deals damage to target creature you control equal to the damage dealt to you this turn.'],"[u'1', u'Black']",1,1,0,0,1,0,0,0,Instant,0
Sinkhole,,,2,[u'Sorcery'],['Destroy target land.'],"[u'Black', u'Black']",0,0,0,0,2,0,0,0,Sorcery,0
Sol Ring,,,1,[u'Artifact'],"[u'Tap', ': Add ', u'2', ' to your mana pool.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,1
Soul Net,,,1,[u'Artifact'],"['Whenever a creature dies, you may pay ', u'1', '. If you do, you gain 1 life.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Sunglasses of Urza,,,3,[u'Artifact'],['You may spend white mana as though it were red mana.'],[u'3'],3,1,0,0,0,0,0,0,Artifact,0
Terror,,,2,[u'Instant'],"[""Destroy target nonartifact, nonblack creature. It can't be regenerated.""]","[u'1', u'Black']",1,1,0,0,1,0,0,0,Instant,0
The Hive,,,5,[u'Artifact'],"[u'5', ', ', u'Tap', ': Put a 1/1 colorless Insect artifact creature token with flying named Wasp onto the battlefield. ', ""<i>(It can't be blocked except by creatures with flying or reach.)</i>""]",[u'5'],5,1,0,0,0,0,0,0,Artifact,1
Throne of Bone,,,1,[u'Artifact'],"['Whenever a player casts a black spell, you may pay ', u'1', '. If you do, you gain 1 life.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Time Vault,,,2,[u'Artifact'],"['Time Vault enters the battlefield tapped.', ""Time Vault doesn't untap during your untap step."", 'If you would begin your turn while Time Vault is tapped, you may skip that turn instead. If you do, untap Time Vault.', u'Tap', ': Take an extra turn after this one.']",[u'2'],2,1,0,0,0,0,0,0,Artifact,1
Unholy Strength,,,1,"[u'Enchantment', u'Aura']","['Enchant creature', 'Enchanted creature gets +2/+1.']",[u'Black'],0,0,0,0,1,0,0,0,Enchantment,0
Wall of Bone,4,1,3,"[u'Creature', u'Skeleton Wall']","['Defender ', ""<i>(This creature can't attack.)</i>"", u'Black', ': Regenerate Wall of Bone. ', ""<i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>""]","[u'2', u'Black']",2,1,0,0,1,0,0,0,Creature,0
Warp Artifact,,,2,"[u'Enchantment', u'Aura']","['Enchant artifact', ""At the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player.""]","[u'Black', u'Black']",0,0,0,0,2,0,0,0,Enchantment,0
Weakness,,,1,"[u'Enchantment', u'Aura']","['Enchant creature', 'Enchanted creature gets -2/-1.']",[u'Black'],0,0,0,0,1,0,0,0,Enchantment,0
Will-O'-The-Wisp,1,0,1,"[u'Creature', u'Spirit']","['Flying ', ""<i>(This creature can't be blocked except by creatures with flying or reach.)</i>"", u'Black', "": Regenerate Will-o'-the-Wisp. "", ""<i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>""]",[u'Black'],0,0,0,0,1,0,0,0,Creature,0
Winter Orb,,,2,[u'Artifact'],"[""Players can't untap more than one land during their untap steps.""]",[u'2'],2,1,0,0,0,0,0,0,Artifact,0
Wooden Sphere,,,1,[u'Artifact'],"['Whenever a player casts a green spell, you may pay ', u'1', '. If you do, you gain 1 life.']",[u'1'],1,1,0,0,0,0,0,0,Artifact,0
Word of Command,,,2,[u'Instant'],"[""Look at target opponent's hand and choose a card from it. You control that player until Word of Command finishes resolving. The player plays that card if able. While doing so, the player can activate mana abilities only if they're from lands he or she controls and only if mana they produce is spent to activate other mana abilities of lands he or she controls and/or play that card. If the chosen card is cast as a spell, you control the player while that spell is resolving.""]","[u'Black', u'Black']",0,0,0,0,2,0,0,0,Instant,0
Zombie Master,3,2,3,"[u'Creature', u'Zombie']","['Other Zombie creatures have swampwalk.', 'Other Zombies have ""', u'Black', ': Regenerate this permanent.""']","[u'1', u'Black', u'Black']",1,1,0,0,2,0,0,0,Creature,0
